scenario_id,species,age_months,weight_kg,food_type,variant,target_kcal,actual_kcal,kcal_delta_pct,is_kcal_valid,protein_target_min,protein_target_max,protein_actual,is_protein_valid,fat_target_min,fat_target_max,fat_actual,is_fat_valid,fiber_target_min,fiber_target_max,fiber_actual,is_fiber_valid,is_bju_valid,components_count,supplements_count,has_dry,has_wet,has_treats,validation_warnings_count,has_critical_errors,overall_status
0,dog,2,1.2,dry,basic,160.5,160.0,-0.3,True,20.0,40.0,20.4,True,10.0,25.0,23.1,True,1.0,10.0,1.4,True,True,1,0,True,False,True,0,False,OK
1,dog,4,1.1,dry,advanced,150.4,136.0,-9.5,True,20.0,40.0,29.5,True,10.0,25.0,14.8,True,1.0,10.0,1.9,True,True,1,2,True,False,True,0,False,OK
2,dog,2,0.9,wet,basic,129.4,136.1,5.2,True,20.0,40.0,40.9,True,10.0,25.0,27.3,True,1.0,10.0,3.2,True,True,1,0,False,True,True,0,False,OK
3,dog,4,1.1,wet,advanced,150.4,151.4,0.7,True,20.0,40.0,27.6,True,10.0,25.0,20.7,True,1.0,10.0,3.7,True,True,1,2,False,True,True,0,False,OK
4,dog,4,1.0,multi,basic,140.0,149.3,6.6,True,20.0,40.0,35.8,True,10.0,25.0,27.2,True,1.0,10.0,11.4,True,True,2,0,True,True,True,0,False,OK
5,dog,2,1.2,multi,advanced,160.5,176.2,9.8,True,20.0,40.0,31.5,True,10.0,25.0,15.7,True,1.0,10.0,4.5,True,True,2,2,True,True,True,0,False,OK
6,dog,3,1.0,dry,basic,140.0,134.0,-4.3,True,20.0,40.0,21.2,True,10.0,25.0,24.7,True,1.0,10.0,4.3,True,True,1,0,True,False,True,0,False,OK
7,dog,3,1.0,dry,advanced,140.0,127.8,-8.7,True,20.0,40.0,41.2,True,10.0,25.0,21.0,True,1.0,10.0,8.7,True,True,1,2,True,False,True,0,False,OK
8,dog,4,1.2,wet,basic,160.5,159.3,-0.7,True,20.0,40.0,21.5,True,10.0,25.0,10.5,True,1.0,10.0,3.1,True,True,1,0,False,True,True,0,False,OK
9,dog,3,0.9,wet,advanced,129.4,140.4,8.5,True,20.0,40.0,19.2,True,10.0,25.0,10.1,True,1.0,10.0,5.8,True,True,1,2,False,True,True,0,False,OK
10,dog,4,1.2,multi,basic,160.5,147.5,-8.1,True,20.0,40.0,20.7,True,10.0,25.0,9.2,True,1.0,10.0,7.2,True,True,2,0,True,True,True,0,False,OK
11,dog,3,1.1,multi,advanced,150.4,148.2,-1.5,True,20.0,40.0,22.3,True,10.0,25.0,27.2,True,1.0,10.0,8.1,True,True,2,2,True,True,True,0,False,OK
12,dog,3,1.2,dry,basic,176.6,191.4,8.4,True,20.0,40.0,18.5,True,10.0,25.0,23.8,True,1.0,10.0,2.3,True,True,1,0,True,False,True,0,False,OK
13,dog,3,1.0,dry,advanced,154.0,142.8,-7.3,True,20.0,40.0,39.2,True,10.0,25.0,15.6,True,1.0,10.0,2.1,True,True,1,2,True,False,True,0,False,OK
14,dog,4,1.1,wet,basic,150.4,155.8,3.6,True,20.0,40.0,18.1,True,10.0,25.0,15.2,True,1.0,10.0,7.7,True,True,1,0,False,True,True,0,False,OK
15,dog,4,1.0,wet,advanced,140.0,146.5,4.6,True,20.0,40.0,33.2,True,10.0,25.0,27.4,True,1.0,10.0,10.3,True,True,1,2,False,True,True,0,False,OK
