scenario_id,species,age_months,weight_kg,food_type,variant,target_kcal,actual_kcal,kcal_delta_pct,is_kcal_valid,protein_target_min,protein_target_max,protein_actual,is_protein_valid,fat_target_min,fat_target_max,fat_actual,is_fat_valid,fiber_target_min,fiber_target_max,fiber_actual,is_fiber_valid,is_bju_valid,components_count,supplements_count,has_dry,has_wet,has_treats,validation_warnings_count,has_critical_errors,overall_status
0,dog,2,1.2,dry,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
1,dog,4,1.1,dry,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
2,dog,2,0.9,wet,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
3,dog,4,1.1,wet,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
4,dog,4,1.0,multi,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
5,dog,2,1.2,multi,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
6,dog,3,1.0,dry,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
7,dog,3,1.0,dry,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
8,dog,4,1.2,wet,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
9,dog,3,0.9,wet,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
10,dog,4,1.2,multi,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
11,dog,3,1.1,multi,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
12,dog,3,1.2,dry,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
13,dog,3,1.0,dry,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
14,dog,4,1.1,wet,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
15,dog,4,1.0,wet,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
16,dog,4,1.0,multi,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
17,dog,2,1.0,multi,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
18,dog,3,1.0,dry,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
19,dog,4,1.1,dry,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
20,dog,4,1.0,wet,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
21,dog,4,1.0,wet,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
22,dog,4,1.1,multi,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
23,dog,4,1.2,multi,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
24,dog,2,1.2,dry,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
25,dog,2,1.1,dry,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
26,dog,3,1.1,wet,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
27,dog,4,0.9,wet,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
28,dog,4,1.2,multi,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
29,dog,2,1.0,multi,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
30,dog,4,1.0,dry,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
31,dog,4,1.0,dry,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
32,dog,2,1.1,wet,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
33,dog,4,1.2,wet,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
34,dog,2,1.1,multi,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
35,dog,3,1.2,multi,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
36,dog,2,1.2,dry,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
37,dog,4,1.0,dry,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
38,dog,4,1.0,wet,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
39,dog,4,1.1,wet,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
40,dog,4,1.1,multi,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
41,dog,2,1.1,multi,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
42,dog,4,0.9,dry,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
43,dog,4,0.9,dry,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
44,dog,3,0.9,wet,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
45,dog,2,1.1,wet,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
46,dog,4,1.2,multi,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
47,dog,2,1.2,multi,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
48,dog,3,1.0,dry,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
49,dog,4,1.1,dry,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
50,dog,2,1.0,wet,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
51,dog,3,1.1,wet,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
52,dog,2,1.2,multi,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
53,dog,2,1.1,multi,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
54,dog,2,0.9,dry,basic,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
55,dog,3,1.0,dry,advanced,0,0,0,False,0,0,0,False,0,0,0,False,0,0,0,False,False,0,0,False,False,False,0,True,CRITICAL
